ID,Estado_de_la_desaparicion,Clasificacion_de_la_desaparicion,Fecha_de_la_desaparicion,Edad,Sexo,Pais,Ancestro,Estado_civil,Escolaridad,Pertenencia_grupal,Pais_de_desaparicion,Municio,Departamento,Contexto
176686,Aparecio Muerto,Sin Información,2023-01-02T00:00:00.000,78,Mujer,Colombia,Sin Información,Sin Información,Sin información,Sin información,Colombia,Copacabana,Antioquia,Desaparición
176688,Aparecio Vivo,Sin Información,2023-02-03T00:00:00.000,28,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176690,Desaparecido,Sin Información,2023-02-01T00:00:00.000,27,Hombre,Colombia,Mestizo,Sin Información,Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Montería,Córdoba,Desaparición
176691,Aparecio Vivo,Sin Información,2023-01-24T00:00:00.000,36,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Itagui,Antioquia,Desaparición
176692,Aparecio Vivo,Sin Información,2023-02-02T00:00:00.000,15,Mujer,Colombia,Negro,Soltero (a),Educación básica secundaria o secundaria baja,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
176693,Aparecio Vivo,Sin Información,2023-02-04T00:00:00.000,48,Hombre,Colombia,Blanco,Soltero (a),"Especialización, Maestría o equivalente",Ninguno,Colombia,Pereira,Risaralda,Desaparición
176694,Aparecio Vivo,Sin Información,2023-01-27T00:00:00.000,23,Hombre,Venezuela,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Ecuador,Desaparecidos en el extranjero,Desaparecidos en el extranjero,Desaparición
176695,Aparecio Muerto,Sin Información,2023-01-10T00:00:00.000,60,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Persona habitante de la calle,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176696,Desaparecido,Sin Información,2023-02-05T00:00:00.000,46,Hombre,Colombia,Mestizo,Casado (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176697,Aparecio Vivo,Sin Información,2023-02-04T00:00:00.000,21,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Discapacitados (as),Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
